Price,Close,High,Low,Open,Volume,PE_Ratio,ROE,EPS,Revenue,NetIncome,Revenue_to_NetIncome,RSI,MACD,MACD_Signal,MACD_Hist,SMA_50,EMA_50,StdDev_20,ATR_14,Month,Year,Upcoming_Earnings
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,73.28926086425781,73.44903883256075,70.962813265488,71.76411894811032,219178400,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,39.8708019373706,-1.5526939318583999,-1.0367830472824424,-0.5159108845759575,,74.19508389036865,4.281398093171759,3.3368172384141945,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-05,70.91195678710938,72.51698353207479,70.54640393192855,71.54137556338232,187572800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,37.541906938026756,-1.5414403772550145,-1.1377145132769568,-0.40372586397805765,,74.0663338078879,4.307322401893008,3.466161819581291,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-06,69.97024536132812,70.40358216932741,68.08197403311165,68.26837793734198,226176800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,36.39801915542012,-1.5901794966194842,-1.2282075099454624,-0.36197198667402186,,73.90570288841496,4.301987498808389,3.614179732698378,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-09,64.43614959716797,67.32181576257562,63.66873234822989,63.850297174318,286744800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,32.26583709473789,-2.051710041449212,-1.3929080162462124,-0.6588020252029996,,73.53434785738567,4.714460470905084,3.8854883147328705,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-10,69.07695770263672,69.34325431741347,65.21083618798149,67.09185293080515,285290000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,38.2936014197436,-2.019719821247648,-1.5182703772464996,-0.5014494440011483,,73.35954824347395,4.681085438109461,4.139680900044795,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-11,66.6778793334961,68.07956216167183,65.81362880191305,67.15237416724361,255598800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,36.80995144785591,-2.1630189793545327,-1.6472200976681064,-0.5157988816864263,,73.09752201171011,4.7536361078604,4.2614160286894665,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-12,60.0931282043457,65.36335211068649,60.037449346112034,61.95961666217629,418474000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,32.945703942155006,-2.7759199029391084,-1.872960058722307,-0.9029598442168014,,72.58754578397033,5.205514992591731,4.563677921249378,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-13,67.29278564453125,67.76485728131117,61.23578029525555,64.12629743078345,370732000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,45.06858094307678,-2.6501468717391248,-2.028397421325671,-0.621749450413454,73.94198997497558,72.3799081314433,4.98943248614603,4.69976570731219,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-16,58.63576126098633,62.719754836954735,58.10074857584745,58.572816419236986,322423600,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,40.052919805179336,-3.2119944833411296,-2.265116833728763,-0.9468776496123668,73.66393508911133,71.84092197966068,5.334767281781042,5.072752890152754,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-17,61.2139778137207,62.36388471818226,57.71340624039025,59.91881387267281,324056000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,41.593076389108525,-3.4099148587845036,-2.4940764387399113,-0.9158384200445924,73.4515486907959,71.42417907119244,5.3695679356655015,5.208148146305691,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-18,59.7154655456543,60.52161388588787,57.40353915642415,58.04507047998226,300233600,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,43.99893273098939,-3.645660691598337,-2.7243932893115965,-0.9212674022867406,73.197744140625,70.96501383489682,5.285846537935396,5.139845266897759,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
